PassengerId,Survived,Pclass,Sex,Age,WithFamily,Kid,Youth,SinFare,Group,TicketHead,Embarked_C,Embarked_Q,Embarked_S,WithCabin
1,0.0,3,1,22.0,1,0,1,7.25,0,718,0,0,1,1
2,1.0,1,-1,38.0,1,0,0,35.64165,1,775,1,0,0,0
3,1.0,3,-1,26.0,0,0,1,7.925,0,802,0,0,1,1
4,1.0,1,-1,35.0,1,0,0,26.55,1,65,0,0,1,0
5,0.0,3,1,35.0,0,0,0,8.05,0,649,0,0,1,1
6,0.0,3,1,24.0,0,0,1,8.4583,0,373,0,1,0,1
7,0.0,1,1,54.0,0,0,0,25.93125,1,109,0,0,1,0
8,0.0,3,1,2.0,1,1,0,4.215,1,541,0,0,1,1
9,1.0,3,-1,27.0,1,0,1,3.7111,1,477,0,0,1,1
10,1.0,2,-1,14.0,1,1,0,15.0354,1,174,1,0,0,1
11,1.0,3,-1,4.0,1,1,0,5.566666666666666,1,781,0,0,1,0
12,1.0,1,-1,58.0,0,0,0,26.55,0,50,0,0,1,0
13,0.0,3,1,20.0,0,0,1,8.05,0,727,0,0,1,1
14,0.0,3,1,39.0,1,0,0,4.4678571428571425,1,459,0,0,1,1
15,0.0,3,-1,14.0,0,1,0,7.8542,0,566,0,0,1,1
16,1.0,2,-1,55.0,0,0,0,16.0,0,204,0,0,1,1
17,0.0,3,1,2.0,1,1,0,4.854166666666667,1,659,0,1,0,1
18,1.0,2,1,24.0,0,0,1,13.0,0,201,0,0,1,1
19,0.0,3,-1,31.0,1,0,0,9.0,1,417,0,0,1,1
20,1.0,3,-1,24.0,0,0,1,7.225,0,243,1,0,0,1
21,0.0,2,1,35.0,0,0,0,13.0,1,182,0,0,1,1
22,1.0,2,1,34.0,0,0,0,13.0,0,203,0,0,1,0
23,1.0,3,-1,15.0,0,1,0,8.0292,0,379,0,1,0,1
24,1.0,1,1,28.0,0,0,1,35.5,0,54,0,0,1,0
25,0.0,3,-1,8.0,1,1,0,4.215,1,541,0,0,1,1
26,1.0,3,-1,38.0,1,0,0,4.483928571428572,1,454,0,0,1,1
27,0.0,3,1,24.0,0,0,1,7.225,0,238,1,0,0,1
28,0.0,1,1,19.0,1,0,1,43.833333333333336,1,123,0,0,1,0
29,1.0,3,-1,24.0,0,0,1,7.8792,0,385,0,1,0,1
30,0.0,3,1,24.0,0,0,1,7.8958,0,499,0,0,1,1
31,0.0,1,1,40.0,0,0,0,27.7208,0,776,1,0,0,1
32,1.0,1,-1,24.0,1,0,1,48.84026666666667,1,772,1,0,0,0
33,1.0,3,-1,24.0,0,0,1,7.75,0,397,0,1,0,1
34,0.0,2,1,66.0,0,0,0,10.5,0,744,0,0,1,1
35,0.0,1,1,28.0,1,0,1,41.0854,1,776,1,0,0,1
36,0.0,1,1,42.0,1,0,0,26.0,1,55,0,0,1,1
37,1.0,3,1,24.0,0,0,1,7.2292,0,272,1,0,0,1
38,0.0,3,1,21.0,0,0,1,8.05,0,706,0,0,1,1
39,0.0,3,-1,18.0,1,0,1,9.0,1,418,0,0,1,1
40,1.0,3,-1,14.0,1,1,0,5.62085,1,245,1,0,0,1
41,0.0,3,-1,40.0,1,0,0,9.475,0,695,0,0,1,1
42,0.0,2,-1,27.0,1,0,1,10.5,1,69,0,0,1,1
43,0.0,3,1,24.0,0,0,1,7.8958,0,536,1,0,0,1
44,1.0,2,-1,3.0,1,1,0,10.3948,1,797,1,0,0,1
45,1.0,3,-1,19.0,0,0,1,7.8792,0,384,0,1,0,1
46,0.0,3,1,24.0,0,0,1,8.05,0,782,0,0,1,1
47,0.0,3,1,24.0,1,0,1,7.75,1,637,0,1,0,1
48,1.0,3,-1,24.0,0,0,1,7.75,0,100,0,1,0,1
49,0.0,3,1,24.0,1,0,1,7.226400000000001,1,256,1,0,0,1
50,0.0,3,-1,18.0,1,0,1,8.9,1,520,0,0,1,1
51,0.0,3,1,7.0,1,1,0,5.669642857142857,1,335,0,0,1,1
52,0.0,3,1,21.0,0,0,1,7.8,0,716,0,0,1,1
53,1.0,1,-1,49.0,1,0,0,25.576400000000003,1,773,1,0,0,0
54,1.0,2,-1,29.0,1,0,1,13.0,1,324,0,0,1,1
55,0.0,1,1,65.0,1,0,0,30.9896,1,39,1,0,0,0
56,1.0,1,1,24.0,0,0,1,35.5,0,122,0,0,1,0
57,1.0,2,-1,21.0,0,0,1,10.5,0,748,0,0,1,1
58,0.0,3,1,28.5,0,0,1,7.2292,0,292,1,0,0,1
59,1.0,2,-1,5.0,1,1,0,6.9375,1,750,0,0,1,1
60,0.0,3,1,11.0,1,1,0,5.8625,1,757,0,0,1,1
61,0.0,3,1,22.0,0,0,1,7.2292,0,263,1,0,0,1
62,1.0,1,-1,38.0,0,0,0,40.0,1,42,0,0,1,0
63,0.0,1,1,45.0,1,0,0,41.7375,1,630,0,0,1,0
64,0.0,3,1,4.0,1,1,0,4.6499999999999995,1,464,0,0,1,1
65,0.0,1,1,24.0,0,0,1,27.7208,0,776,1,0,0,1
66,1.0,3,1,24.0,1,0,1,5.081933333333333,1,255,1,0,0,1
67,1.0,2,-1,29.0,0,0,1,10.5,0,746,0,0,1,0
68,0.0,3,1,19.0,0,0,1,8.1583,0,787,0,0,1,1
69,1.0,3,-1,17.0,1,0,0,7.925,0,334,0,0,1,1
70,0.0,3,1,26.0,1,0,1,8.6625,0,363,0,0,1,1
71,0.0,2,1,32.0,0,0,0,10.5,0,749,0,0,1,1
72,0.0,3,-1,16.0,1,0,0,5.8625,1,757,0,0,1,1
73,0.0,2,1,21.0,0,0,1,10.5,1,785,0,0,1,1
74,0.0,3,1,26.0,1,0,1,7.2271,1,275,1,0,0,1
75,1.0,3,1,32.0,0,0,0,7.061975,1,104,0,0,1,1
76,0.0,3,1,25.0,0,0,1,7.65,0,481,0,0,1,0
77,0.0,3,1,24.0,0,0,1,7.8958,0,491,0,0,1,1
78,0.0,3,1,24.0,0,0,1,8.05,0,650,0,0,1,1
79,1.0,2,1,0.83,1,1,0,9.666666666666666,1,211,0,0,1,1
80,1.0,3,-1,30.0,0,0,1,6.2375,1,593,0,0,1,1
81,0.0,3,1,22.0,0,0,1,9.0,0,420,0,0,1,1
82,1.0,3,1,29.0,0,0,1,9.5,0,430,0,0,1,1
83,1.0,3,-1,24.0,0,0,1,7.7875,0,382,0,1,0,1
84,0.0,1,1,28.0,0,0,1,23.55,1,35,0,0,1,1
85,1.0,2,-1,17.0,0,0,0,10.5,0,799,0,0,1,1
86,1.0,3,-1,33.0,1,0,0,7.925,1,333,0,0,1,1
87,0.0,3,1,16.0,1,0,0,6.875,1,806,0,0,1,1
88,0.0,3,1,24.0,0,0,1,8.05,0,800,0,0,1,1
89,1.0,1,-1,23.0,1,0,1,43.833333333333336,1,123,0,0,1,0
90,0.0,3,1,24.0,0,0,1,8.05,0,411,0,0,1,1
91,0.0,3,1,29.0,0,0,1,8.05,0,412,0,0,1,1
92,0.0,3,1,20.0,0,0,1,7.8542,0,471,0,0,1,1
93,0.0,1,1,46.0,1,0,0,30.5875,1,807,0,0,1,0
94,0.0,3,1,26.0,1,0,1,5.14375,1,743,0,0,1,1
95,0.0,3,1,59.0,0,0,0,7.25,0,589,0,0,1,1
96,0.0,3,1,24.0,0,0,1,8.05,0,652,0,0,1,1
97,0.0,1,1,71.0,0,0,0,34.6542,0,778,1,0,0,0
98,1.0,1,1,23.0,1,0,1,31.67915,1,778,1,0,0,0
99,1.0,2,-1,34.0,1,0,0,11.5,1,149,0,0,1,1
100,0.0,2,1,34.0,1,0,0,13.0,1,199,0,0,1,1
101,0.0,3,-1,28.0,0,0,1,7.8958,0,528,0,0,1,1
102,0.0,3,1,24.0,0,0,1,7.8958,0,498,0,0,1,1
103,0.0,1,1,21.0,1,0,1,38.64375,1,574,0,0,1,0
104,0.0,3,1,33.0,0,0,0,8.6542,0,693,0,0,1,1
105,0.0,3,1,37.0,1,0,0,7.925,0,331,0,0,1,1
106,0.0,3,1,28.0,0,0,1,7.8958,0,490,0,0,1,1
107,1.0,3,-1,21.0,0,0,1,7.65,0,409,0,0,1,1
108,1.0,3,1,24.0,0,0,1,7.775,0,341,0,0,1,1
109,0.0,3,1,38.0,0,0,0,7.8958,0,532,0,0,1,1
110,1.0,3,-1,24.0,1,0,1,8.049999999999999,1,646,0,1,0,1
111,0.0,1,1,47.0,0,0,0,26.0,1,2,0,0,1,0
112,0.0,3,-1,14.5,1,1,0,7.2271,1,259,1,0,0,1
113,0.0,3,1,22.0,0,0,1,8.05,0,370,0,0,1,1
114,0.0,3,-1,20.0,1,0,1,9.825,0,674,0,0,1,1
115,0.0,3,-1,17.0,0,0,0,7.22915,1,235,1,0,0,1
116,0.0,3,1,21.0,0,0,1,7.925,0,801,0,0,1,1
117,0.0,3,1,70.5,0,0,0,7.75,0,635,0,1,0,1
118,0.0,2,1,29.0,1,0,1,10.5,1,69,0,0,1,1
119,0.0,1,1,24.0,1,0,1,82.50693333333334,1,771,1,0,0,0
120,0.0,3,-1,2.0,1,1,0,4.4678571428571425,1,459,0,0,1,1
121,0.0,2,1,21.0,1,0,1,10.5,1,785,0,0,1,1
122,0.0,3,1,24.0,0,0,1,8.05,0,731,0,0,1,1
123,0.0,2,1,32.5,1,0,0,15.0354,1,174,1,0,0,1
124,1.0,2,-1,32.5,0,0,0,13.0,0,297,0,0,1,0
125,0.0,1,1,54.0,1,0,0,38.64375,1,574,0,0,1,0
126,1.0,3,1,12.0,1,1,0,5.62085,1,245,1,0,0,1
127,0.0,3,1,24.0,0,0,1,7.75,0,638,0,1,0,1
128,1.0,3,1,24.0,0,0,1,7.1417,0,735,0,0,1,1
129,1.0,3,-1,24.0,1,0,1,7.452766666666666,1,262,1,0,0,0
130,0.0,3,1,45.0,0,0,0,6.975,0,438,0,0,1,1
131,0.0,3,1,33.0,0,0,0,7.8958,0,524,1,0,0,1
132,0.0,3,1,20.0,0,0,1,7.05,0,800,0,0,1,1
133,0.0,3,-1,47.0,1,0,0,7.25,1,728,0,0,1,1
134,1.0,2,-1,29.0,1,0,1,13.0,1,143,0,0,1,1
135,0.0,2,1,25.0,0,0,1,13.0,0,746,0,0,1,1
136,0.0,2,1,23.0,0,0,1,15.0458,0,796,1,0,0,1
137,1.0,1,-1,19.0,1,0,1,26.2833,0,71,0,0,1,0
138,0.0,1,1,37.0,1,0,0,26.55,1,65,0,0,1,0
139,0.0,3,1,16.0,0,0,0,4.60835,1,691,0,0,1,1
140,0.0,1,1,24.0,0,0,1,39.6,1,775,1,0,0,0
141,0.0,3,-1,24.0,1,0,1,5.081933333333333,1,273,1,0,0,1
142,1.0,3,-1,22.0,0,0,1,7.75,0,458,0,0,1,1
143,1.0,3,-1,24.0,1,0,1,7.925,1,802,0,0,1,1
144,0.0,3,1,19.0,0,0,1,6.75,0,602,0,1,0,1
145,0.0,2,1,18.0,0,0,1,11.5,0,150,0,0,1,1
146,0.0,2,1,19.0,1,0,1,9.1875,1,749,0,0,1,1
147,1.0,3,1,27.0,0,0,1,7.7958,0,553,0,0,1,1
148,0.0,3,-1,9.0,1,1,0,6.875,1,806,0,0,1,1
149,0.0,2,1,36.5,1,0,0,8.666666666666666,1,145,0,0,1,0
150,0.0,2,1,42.0,0,0,0,13.0,0,194,0,0,1,1
151,0.0,2,1,51.0,0,0,0,12.525,0,786,0,0,1,1
152,1.0,1,-1,22.0,1,0,1,33.3,1,46,0,0,1,0
153,0.0,3,1,55.5,0,0,0,8.05,0,708,0,0,1,1
154,0.0,3,1,40.5,1,0,0,4.833333333333333,1,729,0,0,1,1
155,0.0,3,1,24.0,0,0,1,7.3125,0,763,0,0,1,1
156,0.0,1,1,51.0,1,0,0,30.6896,1,775,1,0,0,1
157,1.0,3,-1,16.0,0,0,0,7.7333,0,575,0,1,0,1
158,0.0,3,1,30.0,0,0,1,8.05,0,800,0,0,1,1
159,0.0,3,1,24.0,0,0,1,8.6625,0,345,0,0,1,1
160,0.0,3,1,24.0,1,0,1,6.322727272727272,1,760,0,0,1,1
161,0.0,3,1,44.0,1,0,0,8.05,1,647,0,0,1,1
162,1.0,2,-1,40.0,0,0,0,7.875,1,749,0,0,1,1
163,0.0,3,1,26.0,0,0,1,7.775,0,445,0,0,1,1
164,0.0,3,1,17.0,0,0,0,8.6625,0,357,0,0,1,1
165,0.0,3,1,1.0,1,1,0,5.669642857142857,1,335,0,0,1,1
166,1.0,3,1,9.0,1,1,0,6.841666666666666,1,583,0,0,1,1
167,1.0,1,-1,24.0,1,0,1,27.5,1,38,0,0,1,0
168,0.0,3,-1,45.0,1,0,0,4.6499999999999995,1,464,0,0,1,1
169,0.0,1,1,24.0,0,0,1,25.925,0,767,0,0,1,1
170,0.0,3,1,28.0,0,0,1,7.061975,1,104,0,0,1,1
171,0.0,1,1,61.0,0,0,0,33.5,0,8,0,0,1,0
172,0.0,3,1,4.0,1,1,0,4.854166666666667,1,659,0,1,0,1
173,1.0,3,-1,1.0,1,1,0,3.7111,1,477,0,0,1,1
174,0.0,3,1,21.0,0,0,1,7.925,0,801,0,0,1,1
175,0.0,1,1,56.0,0,0,0,30.6958,0,115,1,0,0,0
176,0.0,3,1,18.0,1,0,1,7.8542,0,564,0,0,1,1
177,0.0,3,1,24.0,1,0,1,5.0933399999999995,1,671,0,0,1,1
178,0.0,1,-1,50.0,0,0,0,28.7125,0,775,1,0,0,0
179,0.0,2,1,30.0,0,0,1,13.0,0,225,0,0,1,1
180,0.0,3,1,36.0,0,0,0,0.0,1,764,0,0,1,1
181,0.0,3,-1,24.0,1,0,1,6.322727272727272,1,760,0,0,1,1
182,0.0,2,1,24.0,0,0,1,15.05,0,796,1,0,0,1
183,0.0,3,1,9.0,1,1,0,4.483928571428572,1,454,0,0,1,1
184,1.0,2,1,1.0,1,1,0,9.75,1,146,0,0,1,0
185,1.0,3,-1,4.0,1,1,0,7.341666666666666,1,365,0,0,1,1
186,0.0,1,1,24.0,0,0,1,50.0,0,44,0,0,1,0
187,1.0,3,-1,24.0,1,0,1,7.75,1,633,0,1,0,1
188,1.0,1,1,45.0,0,0,0,26.55,0,14,0,0,1,1
189,0.0,3,1,40.0,1,0,0,7.75,1,596,0,1,0,1
190,0.0,3,1,36.0,0,0,0,7.8958,0,530,0,0,1,1
191,1.0,2,-1,32.0,0,0,0,13.0,0,156,0,0,1,1
192,0.0,2,1,19.0,0,0,1,13.0,0,310,0,0,1,1
193,1.0,3,-1,19.0,1,0,1,7.8542,0,555,0,0,1,1
194,1.0,2,1,3.0,1,1,0,8.666666666666666,1,145,0,0,1,0
195,1.0,1,-1,44.0,0,0,0,27.7208,0,777,1,0,0,0
196,1.0,1,-1,58.0,0,0,0,48.84026666666667,1,772,1,0,0,0
197,0.0,3,1,24.0,0,0,1,7.75,0,624,0,1,0,1
198,0.0,3,1,42.0,1,0,0,8.4042,0,677,0,0,1,1
199,1.0,3,-1,24.0,0,0,1,7.75,0,636,0,1,0,1
200,0.0,2,-1,24.0,0,0,1,13.0,0,215,0,0,1,1
201,0.0,3,1,28.0,0,0,1,9.5,0,423,0,0,1,1
202,0.0,3,1,24.0,1,0,1,6.322727272727272,1,760,0,0,1,1
203,0.0,3,1,34.0,0,0,0,6.4958,0,327,0,0,1,1
204,0.0,3,1,45.5,0,0,0,7.225,0,236,1,0,0,1
205,1.0,3,1,18.0,0,0,1,8.05,0,722,0,0,1,1
206,0.0,3,-1,2.0,1,1,0,5.23125,1,436,0,0,1,0
207,0.0,3,1,32.0,1,0,0,7.925,1,333,0,0,1,1
208,1.0,3,1,26.0,0,0,1,9.39375,1,294,1,0,0,1
209,1.0,3,-1,16.0,0,0,0,7.75,0,613,0,1,0,1
210,1.0,1,1,40.0,0,0,0,31.0,0,21,1,0,0,0
211,0.0,3,1,24.0,0,0,1,7.05,0,800,0,0,1,1
212,1.0,2,-1,35.0,0,0,0,10.5,1,762,0,0,1,1
213,0.0,3,1,22.0,0,0,1,7.25,0,718,0,0,1,1
214,0.0,2,1,30.0,0,0,1,13.0,0,218,0,0,1,1
215,0.0,3,1,24.0,1,0,1,7.75,0,611,0,1,0,1
216,1.0,1,-1,31.0,1,0,0,37.75833333333333,1,573,1,0,0,0
217,1.0,3,-1,27.0,0,0,1,7.925,0,802,0,0,1,1
218,0.0,2,1,42.0,1,0,0,13.5,1,189,0,0,1,1
219,1.0,1,-1,32.0,0,0,0,38.14585,1,81,1,0,0,0
220,0.0,2,1,30.0,0,0,1,10.5,0,808,0,0,1,1
221,1.0,3,1,16.0,0,0,0,8.05,0,800,0,0,1,1
222,0.0,2,1,27.0,0,0,1,13.0,0,136,0,0,1,1
223,0.0,3,1,51.0,0,0,0,8.05,0,133,0,0,1,1
224,0.0,3,1,24.0,0,0,1,7.8958,0,517,0,0,1,1
225,1.0,1,1,38.0,1,0,0,45.0,1,121,0,0,1,0
226,0.0,3,1,22.0,0,0,1,9.35,0,780,0,0,1,1
227,1.0,2,1,19.0,0,0,1,10.5,0,804,0,0,1,1
228,0.0,3,1,20.5,0,0,1,7.25,0,718,0,0,1,1
229,0.0,2,1,18.0,0,0,1,13.0,0,160,0,0,1,1
230,0.0,3,-1,24.0,1,0,1,5.0933399999999995,1,671,0,0,1,1
231,1.0,1,-1,35.0,1,0,0,41.7375,1,630,0,0,1,0
232,0.0,3,1,29.0,0,0,1,7.775,0,444,0,0,1,1
233,0.0,2,1,59.0,0,0,0,13.5,0,167,0,0,1,1
234,1.0,3,-1,5.0,1,1,0,4.483928571428572,1,454,0,0,1,1
235,0.0,2,1,24.0,0,0,1,10.5,0,746,0,0,1,1
236,0.0,3,-1,24.0,0,0,1,7.55,0,806,0,0,1,1
237,0.0,2,1,44.0,1,0,0,13.0,1,265,0,0,1,1
238,1.0,2,-1,8.0,1,1,0,8.75,1,748,0,0,1,1
239,0.0,2,1,19.0,0,0,1,10.5,0,314,0,0,1,1
240,0.0,2,1,33.0,0,0,0,12.275,0,798,0,0,1,1
241,0.0,3,-1,24.0,1,0,1,7.2271,1,259,1,0,0,1
242,1.0,3,-1,24.0,1,0,1,7.75,1,612,0,1,0,1
243,0.0,2,1,29.0,0,0,1,10.5,0,805,0,0,1,1
244,0.0,3,1,22.0,0,0,1,7.125,0,801,0,0,1,1
245,0.0,3,1,30.0,0,0,1,7.225,0,289,1,0,0,1
246,0.0,1,1,44.0,1,0,0,30.0,1,120,0,1,0,0
247,0.0,3,-1,25.0,0,0,1,7.775,0,448,0,0,1,1
248,1.0,2,-1,24.0,1,0,1,7.25,1,221,0,0,1,1
249,1.0,1,1,37.0,1,0,0,26.2771,1,70,0,0,1,0
250,0.0,2,1,54.0,1,0,0,13.0,1,191,0,0,1,1
251,0.0,3,1,24.0,0,0,1,7.25,0,581,0,0,1,1
252,0.0,3,-1,29.0,1,0,1,5.23125,1,436,0,0,1,0
253,0.0,1,1,62.0,0,0,0,26.55,0,41,0,0,1,0
254,0.0,3,1,30.0,1,0,1,8.05,1,728,0,0,1,1
255,0.0,3,-1,41.0,1,0,0,6.7375,1,632,0,0,1,1
256,1.0,3,-1,29.0,1,0,1,5.081933333333333,1,244,1,0,0,1
257,1.0,1,-1,24.0,0,0,1,39.6,1,774,1,0,0,1
258,1.0,1,-1,30.0,0,0,1,28.833333333333332,1,0,0,0,1,0
259,1.0,1,-1,35.0,0,0,0,128.0823,1,778,1,0,0,1
260,1.0,2,-1,50.0,1,0,0,13.0,1,147,0,0,1,1
261,0.0,3,1,24.0,0,0,1,7.75,0,664,0,1,0,1
262,1.0,3,1,3.0,1,1,0,4.483928571428572,1,454,0,0,1,1
263,0.0,1,1,52.0,1,0,0,26.55,1,1,0,0,1,0
264,0.0,1,1,40.0,0,0,0,0.0,0,20,0,0,1,0
265,0.0,3,-1,24.0,0,0,1,7.75,0,656,0,1,0,1
266,0.0,2,1,36.0,0,0,0,10.5,0,741,0,0,1,1
267,0.0,3,1,16.0,1,0,0,5.669642857142857,1,335,0,0,1,1
268,1.0,3,1,25.0,1,0,1,7.775,0,460,0,0,1,1
269,1.0,1,-1,58.0,1,0,0,51.15416666666667,1,774,0,0,1,0
270,1.0,1,-1,35.0,0,0,0,33.908325,1,779,0,0,1,0
271,0.0,1,1,24.0,0,0,1,15.5,1,62,0,0,1,1
272,1.0,3,1,25.0,0,0,1,0.0,1,764,0,0,1,1
273,1.0,2,-1,41.0,1,0,0,9.75,1,217,0,0,1,1
274,0.0,1,1,37.0,1,0,0,29.7,0,775,1,0,0,0
275,1.0,3,-1,24.0,0,0,1,7.75,0,641,0,1,0,1
276,1.0,1,-1,63.0,1,0,0,25.986099999999997,1,92,0,0,1,0
277,0.0,3,-1,45.0,0,0,0,7.75,0,450,0,0,1,1
278,0.0,2,1,24.0,0,0,1,0.0,1,178,0,0,1,1
279,0.0,3,1,7.0,1,1,0,4.854166666666667,1,659,0,1,0,1
280,1.0,3,-1,35.0,1,0,0,6.75,1,745,0,0,1,1
281,0.0,3,1,65.0,0,0,0,7.75,0,399,0,1,0,1
282,0.0,3,1,28.0,0,0,1,7.8542,0,469,0,0,1,1
283,0.0,3,1,16.0,0,0,0,9.5,0,429,0,0,1,1
284,1.0,3,1,19.0,0,0,1,8.05,0,725,0,0,1,1
285,0.0,1,1,24.0,0,0,1,26.0,0,34,0,0,1,0
286,0.0,3,1,33.0,0,0,0,8.6625,0,522,1,0,0,1
287,1.0,3,1,30.0,0,0,1,9.5,0,426,0,0,1,1
288,0.0,3,1,22.0,0,0,1,7.8958,0,489,0,0,1,1
289,1.0,2,1,42.0,0,0,0,13.0,0,176,0,0,1,1
290,1.0,3,-1,22.0,0,0,1,7.75,0,639,0,1,0,1
291,1.0,1,-1,26.0,0,0,1,26.28333333333333,1,118,0,0,1,1
292,1.0,1,-1,19.0,1,0,1,45.5396,1,82,1,0,0,0
293,0.0,2,1,36.0,0,0,0,12.875,0,797,1,0,0,0
294,0.0,3,-1,24.0,0,0,1,8.85,0,519,0,0,1,1
295,0.0,3,1,24.0,0,0,1,7.8958,0,516,0,0,1,1
